Moviepy - Building video output.mp4.
Moviepy - Writing video output.mp4

Moviepy - Done !
Moviepy - video ready output.mp4
         236133 function calls (232086 primitive calls) in 9.239 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 subprocess.py:1227(_close_pipe_fds)
        3    0.000    0.000    0.000    0.000 subprocess.py:1604(_get_handles)
        3    0.000    0.000    0.001    0.000 subprocess.py:1703(_execute_child)
        2    0.000    0.000    0.000    0.000 subprocess.py:1867(_handle_exitstatus)
        2    0.000    0.000    0.000    0.000 subprocess.py:1879(_internal_poll)
        2    0.000    0.000    0.174    0.087 subprocess.py:1914(_try_wait)
        3    0.000    0.000    0.174    0.058 subprocess.py:1927(_wait)
        1    0.000    0.000    0.025    0.025 subprocess.py:1968(_communicate)
        1    0.000    0.000    0.000    0.000 subprocess.py:2070(_save_input)
        2    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
        1    0.000    0.000    0.000    0.000 threading.py:276(_acquire_restore)
        1    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:288(wait)
        2    0.000    0.000    0.000    0.000 threading.py:545(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:553(is_set)
        1    0.000    0.000    0.000    0.000 threading.py:589(wait)
        4    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:64(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:782(_newname)
        1    0.000    0.000    0.000    0.000 threading.py:827(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:916(start)
        2    0.000    0.000    0.000    0.000 threading.py:1129(name)
        1    0.000    0.000    0.000    0.000 threading.py:1183(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1198(daemon)
        4    0.000    0.000    0.000    0.000 selectors.py:67(__len__)
        1    0.000    0.000    0.000    0.000 threading.py:1301(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
        1    0.000    0.000    0.000    0.000 selectors.py:200(__enter__)
        1    0.000    0.000    0.000    0.000 selectors.py:203(__exit__)
        1    0.000    0.000    0.000    0.000 selectors.py:210(__init__)
        4    0.000    0.000    0.000    0.000 selectors.py:216(_fileobj_lookup)
        2    0.000    0.000    0.000    0.000 selectors.py:235(register)
        2    0.000    0.000    0.000    0.000 selectors.py:248(unregister)
        1    0.000    0.000    0.000    0.000 selectors.py:269(close)
        4    0.000    0.000    0.000    0.000 selectors.py:273(get_map)
        4    0.000    0.000    0.000    0.000 selectors.py:276(_key_from_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:348(__init__)
        2    0.000    0.000    0.000    0.000 selectors.py:352(register)
        2    0.000    0.000    0.000    0.000 selectors.py:366(unregister)
        3    0.000    0.000    0.025    0.008 selectors.py:403(select)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        1    0.000    0.000    0.000    0.000 weakref.py:290(update)
        1    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        1    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
     2596    0.200    0.000    0.205    0.000 numeric.py:67(zeros_like)
     2596    0.001    0.000    0.001    0.000 numeric.py:63(_zeros_like_dispatcher)
        4    0.000    0.000    0.000    0.000 re.py:197(search)
        1    0.000    0.000    0.000    0.000 re.py:232(findall)
        5    0.000    0.000    0.001    0.000 re.py:288(_compile)
        6    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
     17/5    0.000    0.000    0.000    0.000 sre_compile.py:87(_compile)
       17    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       17    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
        7    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        3    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        9    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      7/5    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        5    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
       10    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        5    0.000    0.000    0.000    0.000 sre_compile.py:622(_code)
        5    0.000    0.000    0.000    0.000 sre_compile.py:783(compile)
        5    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        3    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        3    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
       19    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:163(__delitem__)
      114    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
        7    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
     20/8    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
        5    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      106    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
       49    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
       83    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
       31    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        2    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       14    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
      8/5    0.000    0.000    0.000    0.000 sre_parse.py:436(_parse_sub)
     10/5    0.000    0.000    0.000    0.000 sre_parse.py:494(_parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
        5    0.000    0.000    0.000    0.000 sre_parse.py:944(parse)
        1    0.000    0.000    0.000    0.000 copyreg.py:100(__newobj__)
        1    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
     2310    0.002    0.000    0.002    0.000 fromnumeric.py:72(<dictcomp>)
     2310    0.013    0.000    0.047    0.000 fromnumeric.py:71(_wrapreduction)
     2310    0.001    0.000    0.001    0.000 fromnumeric.py:2172(_sum_dispatcher)
     2310    0.008    0.000    0.057    0.000 fromnumeric.py:2177(sum)
        4    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        4    0.000    0.000    0.002    0.000 contextlib.py:130(__enter__)
        4    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
        4    0.000    0.000    0.000    0.000 contextlib.py:279(helper)
        9    0.000    0.000    0.000    0.000 contextlib.py:448(_exit_wrapper)
        9    0.000    0.000    0.000    0.000 contextlib.py:446(_create_cb_wrapper)
        3    0.000    0.000    0.000    0.000 contextlib.py:452(__init__)
        9    0.000    0.000    0.000    0.000 contextlib.py:496(callback)
        9    0.000    0.000    0.000    0.000 contextlib.py:514(_push_exit_callback)
        3    0.000    0.000    0.000    0.000 contextlib.py:530(__enter__)
        3    0.000    0.000    0.000    0.000 contextlib.py:533(__exit__)
     1297    0.259    0.000    0.259    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
     1298    0.016    0.000    0.016    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
     2596    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
     1295    0.014    0.000    0.014    0.000 {built-in method numpy.frombuffer}
     2310    0.025    0.000    0.025    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        6    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
     29/2    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 os.py:805(fsencode)
       10    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        4    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        1    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        3    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        3    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        6    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.000    0.000 posixpath.py:377(abspath)
        3    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        3    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        8    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
     1298    0.025    0.000    0.237    0.000 laneDetect.py:15(region_selection)
     1298    0.005    0.000    1.478    0.001 laneDetect.py:46(hough_transform)
     1298    0.167    0.000    0.228    0.000 laneDetect.py:67(average_slope_intercept)
     2596    0.005    0.000    0.005    0.000 laneDetect.py:100(pixel_points)
     1298    0.005    0.000    0.239    0.000 laneDetect.py:117(lane_lines)
     1298    0.010    0.000    0.832    0.001 laneDetect.py:132(draw_lane_lines)
     1298    0.018    0.000    4.537    0.003 laneDetect.py:147(frame_processor)
        1    0.000    0.000    9.239    9.239 laneDetect.py:181(process_video)
        2    0.000    0.000    0.000    0.000 warnings.py:15(formatwarning)
        2    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        2    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
        4    0.000    0.000    0.000    0.000 warnings.py:403(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:359(__call__)
       10    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        5    0.000    0.000    0.000    0.000 enum.py:986(__and__)
     2596    0.001    0.000    0.001    0.000 multiarray.py:85(empty_like)
     2310    0.001    0.000    0.001    0.000 multiarray.py:741(dot)
     2596    0.001    0.000    0.001    0.000 multiarray.py:1080(copyto)
        1    0.000    0.000    0.000    0.000 functools.py:393(__get__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     15/4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      8/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      8/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      8/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      6/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:877(exec_module)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)


